country,wikipedia_page,export_partners,import_partners
"Chad","https://en.wikipedia.org/wiki/Economy_of_Chad","United States,India,Japan,China","France,China,Cameroon,United States,India,Belgium,Italy"
"Malawi","https://en.wikipedia.org/wiki/Economy_of_Malawi","",""
"Mauritania","https://en.wikipedia.org/wiki/Economy_of_Mauritania","China,Spain,Canada,Turkey,Japan,Italy,Germany,Australia,Cote d'Ivoire,Russia","China,Turkey,France,United Arab Emirates,Morocco,Indonesia,Spain,USA,Belgium,Netherlands"
"New Caledonia","https://en.wikipedia.org/wiki/Economy_of_New_Caledonia","China,South Korea,Japan","France,Australia,Singapore,China"
"Kosovo","https://en.wikipedia.org/wiki/Economy_of_Kosovo","EU,Albania,USA,Serbia,North Macedonia","EU,Turkey,China,Serbia,Albania"
"Togo","https://en.wikipedia.org/wiki/Economy_of_Togo","Benin,Burkina Faso,India,Mali,Niger,Côte d’Ivoire,Ghana,Nigeria","China,Belgium,Netherlands,France,India,Singapore"
"Somalia","https://en.wikipedia.org/wiki/Economy_of_Somalia","Ethiopia,France,Kenya,UAE,Yemen","Ethiopia,Sudan,Indonesia,Russia,Turkey"
"Bermuda","https://en.wikipedia.org/wiki/Economy_of_Bermuda","",""
"Liechtenstein","https://en.wikipedia.org/wiki/Economy_of_Liechtenstein","",""
"Monaco","https://en.wikipedia.org/wiki/Economy_of_Monaco","",""
"Cayman Islands","https://en.wikipedia.org/wiki/Economy_of_the_Cayman_Islands","",""
"Montenegro","https://en.wikipedia.org/wiki/Economy_of_Montenegro","Serbia,Hungary,China,Russia,Bosnia and Herzegovina,Germany,Italy,Poland,Belgium,Slovenia","Serbia,Bosnia and Herzegovina,Croatia,Italy,Greece,Germany,Turkey,Slovenia,China,Hungary"
"South Sudan","https://en.wikipedia.org/wiki/Economy_of_South_Sudan","",""
"Maldives","https://en.wikipedia.org/wiki/Economy_of_Maldives","Thailand,United States,China,France,Germany","UAE,China,Singapore,India,Malaysia"
"Guam","https://en.wikipedia.org/wiki/Economy_of_Guam","",""
"Barbados","https://en.wikipedia.org/wiki/Economy_of_Barbados","United States,Trinidad and Tobago,Guyana,Jamaica,China,St. Lucia,the Bahamas","United States,Trinidad and Tobago,United Kingdom,China,Canada"
"French Polynesia","https://en.wikipedia.org/wiki/Economy_of_French_Polynesia","Japan,Hong Kong,Kyrgyzstan,United States,France","France,United States,China,New Zealand,Singapore"
"Fiji","https://en.wikipedia.org/wiki/Economy_of_Fiji","United States,Australia,New Zealand,Tonga,Vanuatu,China,Spain,United Kingdom,Kiribati","Australia,New Zealand,Singapore,China"
"Eswatini","https://en.wikipedia.org/wiki/Economy_of_Eswatini","South Africa,EU,US,Mozambique","South Africa,EU,Japan,Singapore"
"Liberia","https://en.wikipedia.org/wiki/Economy_of_Liberia","Germany,Switzerland,United Arab Emirates,United States,Indonesia","Singapore,China,South Korea,Japan"
"Djibouti","https://en.wikipedia.org/wiki/Economy_of_Djibouti","Ethiopia,Somalia,Qatar,Brazil,Yemen,United States","China,Saudi Arabia,India,Indonesia,Oman"
"Andorra","https://en.wikipedia.org/wiki/Economy_of_Andorra","",""
"Aruba","https://en.wikipedia.org/wiki/Economy_of_Aruba","United States,Colombia,Venezuela,Netherlands,Canada","United States,Venezuela,Mexico,Netherlands,United Kingdom"
"Sierra Leone","https://en.wikipedia.org/wiki/Economy_of_Sierra_Leone","China,Belgium,Japan,Turkey,Netherlands,Indonesia","China,India,South Africa,United States,United Kingdom,Côte d'Ivoire,Belgium"
"Suriname","https://en.wikipedia.org/wiki/Economy_of_Suriname","Switzerland,Hong Kong,United Arab Emirates,Belgium,Guyana,United States,China,India,Netherlands,Singapore","China,Germany,United States,Japan,South Korea,France,Netherlands,Italy,United Kingdom,Mexico"
"Burundi","https://en.wikipedia.org/wiki/Economy_of_Burundi","Germany,Pakistan,Kenya,China,Sweden,Belgium,Canada,Rwanda,United States","Saudi Arabia,China,Uganda,Belgium,Kenya,Zambia,India,United Arab Emirates"
"Belize","https://en.wikipedia.org/wiki/Economy_of_Belize","United Kingdom,United States,Nigeria,Trinidad and Tobago,Jamaica,Bahamas","United States,Mexico,Cuba,Guatemala,China,Trinidad and Tobago,Indonesia"
"Greenland","https://en.wikipedia.org/wiki/Economy_of_Greenland","Denmark,Iceland","Denmark,Sweden"
"Central African Republic","https://en.wikipedia.org/wiki/Economy_of_the_Central_African_Republic","France,Burundi,China,Cameroon,Austria","France,United States,India,China,South Africa,Japan,Italy,Cameroon,Netherlands"
"Bhutan","https://en.wikipedia.org/wiki/Economy_of_Bhutan","India,Bangladesh,Hong Kong,China,Nepal","India,China,Japan,South Korea,Thailand,Singapore"
"Eritrea","https://en.wikipedia.org/wiki/Economy_of_Eritrea","Italy,Sudan,Saudi Arabia,China,UK,Egypt","Saudi Arabia,Egypt,China,India,Russia,South Africa,Brazil,South Korea"
"Lesotho","https://en.wikipedia.org/wiki/Economy_of_Lesotho","US,Europe","Taiwan,Hong Kong,China"
"Curaçao","https://en.wikipedia.org/wiki/Economy_of_Cura%C3%A7ao","United States,Guatemala,Panama,Dominican Republic,Haiti,Bahamas,Costa Rica","Venezuela,United States,Mexico,Brazil,Netherlands"
"Cape Verde","https://en.wikipedia.org/wiki/Economy_of_Cape_Verde","Spain,Portugal,Italy","Portugal,Netherlands,Spain,China"
"Gambia","https://en.wikipedia.org/wiki/Economy_of_The_Gambia","China,India,Mali,Chile","China,India,Senegal,Brazil"
"Saint Lucia","https://en.wikipedia.org/wiki/Economy_of_Saint_Lucia","United States,Uruguay,Barbados,Trinidad and Tobago,United Kingdom,Dominica,Guyana,France","Colombia,United States,Trinidad and Tobago"
"East Timor","https://en.wikipedia.org/wiki/Economy_of_East_Timor","Singapore,China,Japan,Indonesia,Australia","Indonesia,China,Singapore,Malaysia,Thailand"
"Seychelles","https://en.wikipedia.org/wiki/Economy_of_Seychelles","United Arab Emirates,France,United Kingdom,Italy,Germany","United Arab Emirates,France,Spain,South Africa"
"Zanzibar","https://en.wikipedia.org/wiki/Economy_of_Zanzibar","",""
"Guinea-Bissau","https://en.wikipedia.org/wiki/Economy_of_Guinea-Bissau","India,Belgium,Cote d'Ivoire","Portugal,Senegal,China,Netherlands,Pakistan"
"Antigua and Barbuda","https://en.wikipedia.org/wiki/Economy_of_Antigua_and_Barbuda","Poland,Cameroon,US,UK","US,China,Singapore,Germany,Spain"
"San Marino","https://en.wikipedia.org/wiki/Economy_of_San_Marino","",""
"Solomon Islands","https://en.wikipedia.org/wiki/Economy_of_the_Solomon_Islands","",""
"British Virgin Islands","https://en.wikipedia.org/wiki/Economy_of_the_British_Virgin_Islands","United States Virgin Islands,Puerto Rico","United States Virgin Islands,Puerto Rico"
"Comoros","https://en.wikipedia.org/wiki/Economy_of_the_Comoros","India,Singapore,France,Netherlands,Turkey,United States,Saudi Arabia,Germany","France,Pakistan,HKG,PR of China,United Arab Emirates,Republic of India,East African Community"
"Grenada","https://en.wikipedia.org/wiki/Economy_of_Grenada","Nigeria,St. Lucia,Antigua and Barbuda,St. Kitts and Nevis,Dominica,United States","Trinidad and Tobago,United States,Israel,EU"
"Northern Mariana Islands","https://en.wikipedia.org/wiki/Economy_of_Northern_Mariana_Islands","",""
"Vanuatu","https://en.wikipedia.org/wiki/Economy_of_Vanuatu","",""
"Saint Kitts and Nevis","https://en.wikipedia.org/wiki/Economy_of_Saint_Kitts_and_Nevis","United States,Germany,Italy","United States,Peru,Germany"
"Saint Vincent and the Grenadines","https://en.wikipedia.org/wiki/Economy_of_Saint_Vincent_and_the_Grenadines","Trinidad and Tobago,Saint Lucia,Chile,Barbados,Dominica,Grenada,Antigua and Barbuda","Singapore,Trinidad and Tobago,United States,China,EU"
"Turks and Caicos Islands","https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands","",""
"Sint Maarten","https://en.wikipedia.org/wiki/Economy_of_Sint_Maarten","China,United States,Japan","China,Japan,United States,Saudi Arabia"
"Samoa","https://en.wikipedia.org/wiki/Economy_of_Samoa","",""
"American Samoa","https://en.wikipedia.org/wiki/Economy_of_American_Samoa","Indonesia,Samoa","South Korea,Mauritius"
"Dominica","https://en.wikipedia.org/wiki/Economy_of_Dominica","Saudi Arabia,Qatar","United States,Nigeria,China,Italy"
"São Tomé and Príncipe","https://en.wikipedia.org/wiki/Economy_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe","Netherlands,Belgium,Spain,Nigeria,United States","Portugal,Gabon"
"Tonga","https://en.wikipedia.org/wiki/Economy_of_Tonga","South Korea,United States,New Zealand,Fiji,Japan,Samoa,American Samoa,Australia","Fiji,New Zealand,United States,China"
"Micronesia","https://en.wikipedia.org/wiki/Economy_of_the_Federated_States_of_Micronesia","",""
"Cook Islands","https://en.wikipedia.org/wiki/Economy_of_the_Cook_Islands","",""
"Marshall Islands","https://en.wikipedia.org/wiki/Economy_of_the_Marshall_Islands","",""
"Anguilla","https://en.wikipedia.org/wiki/Economy_of_Anguilla","United Kingdom,United States,Puerto Rico,Saint Martin","United States,Puerto Rico,United Kingdom,Trinidad and Tobago"
"Palau","https://en.wikipedia.org/wiki/Economy_of_Palau","",""
"Kiribati","https://en.wikipedia.org/wiki/Economy_of_Kiribati","",""
"Nauru","https://en.wikipedia.org/wiki/Economy_of_Nauru","Thailand,Australia,United States,South Korea,Philippines,Japan,France","Taiwan,Australia"
"Montserrat","https://en.wikipedia.org/wiki/Economy_of_Montserrat","",""
"Tuvalu","https://en.wikipedia.org/wiki/Economy_of_Tuvalu","",""country,wikipedia_page,export_partners,import_partners
"United States","https://en.wikipedia.org/wiki/Economy_of_the_United_States","European Union,Canada,Mexico,China,Japan","China,European Union,Mexico,Canada,Japan"
"China","https://en.wikipedia.org/wiki/GDP_of_China","",""
"Japan","https://en.wikipedia.org/wiki/Economy_of_Japan","China,United States,ASEAN,European Union,South Korea,Saudi Arabia,United Kingdom,Turkey,Australia,India","China,ASEAN,European Union,United States,United Kingdom,Australia,South Korea,Saudi Arabia,United Arab Emirates,African Union"
"Germany","https://en.wikipedia.org/wiki/Economy_of_Germany","United States,China,France,Netherlands,United Kingdom,Poland","China,Netherlands,Poland,France,Italy,Czechia"
"India","https://en.wikipedia.org/wiki/Economy_of_India","United States,United Arab Emirates,China,Bangladesh,Netherlands","China,United Arab Emirates,United States,Russia,Saudi Arabia"
"United Kingdom","https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom","European Union,Germany,Netherlands,France,Ireland,Italy,Belgium,United States,China,Switzerland","European Union,Germany,Netherlands,France,Spain,Belgium,United States,China,Turkey"
"France","https://en.wikipedia.org/wiki/Economy_of_France","Germany,Spain,Italy,United States,Belgium,United Kingdom","Germany,Belgium,Netherlands,Italy,Spain,United Kingdom,United States,China"
"Italy","https://en.wikipedia.org/wiki/Economy_of_Italy","Germany,France,United States,Switzerland,Spain,United Kingdom","Germany,France,China,Netherlands,Spain,Belgium"
"Canada","https://en.wikipedia.org/wiki/Economy_of_Canada","United States,European Union,China,Japan,Mexico","United States,China,European Union,Mexico,Japan"
"Brazil","https://en.wikipedia.org/wiki/Economy_of_Brazil","China,United States,Argentina,Netherlands,Chile","China,United States,Argentina,Germany,India"
"Russia","https://en.wikipedia.org/wiki/Economy_of_Russia","China,Netherlands,United States,United Kingdom,Italy,Belarus,Turkey,Germany,Kazakhstan,South Korea","China,Germany,Belarus,South Korea,Poland,Italy,Japan,Netherlands,France,United States"
"South Korea","https://en.wikipedia.org/wiki/Economy_of_South_Korea","China,ASEAN,United States,European Union,Hong Kong,Japan,Russia,Taiwan","China,United States,European Union,ASEAN,Japan,Australia,Russia,Saudi Arabia,Taiwan"
"Australia","https://en.wikipedia.org/wiki/Economy_of_Australia","China,Japan,South Korea,United States,India,New Zealand","China,United States,Japan,Germany,Thailand,United Kingdom"
"Mexico","https://en.wikipedia.org/wiki/GDP_of_Mexico","United States,Canada,China,Spain,Brazil","United States,China,Japan,Germany,South Korea"
"Spain","https://en.wikipedia.org/wiki/GDP_of_Spain","France,Germany,Italy,Portugal,United Kingdom,United States","Germany,France,China,Italy,Netherlands,United Kingdom"
"Indonesia","https://en.wikipedia.org/wiki/Economy_of_Indonesia","China,ASEAN,United States,European Union,Japan,India,South Korea,Hong Kong","China,ASEAN,Japan,European Union,South Korea,United States,Australia,India"
"Netherlands","https://en.wikipedia.org/wiki/Economy_of_the_Netherlands","Germany,Belgium,United Kingdom,France,United States","Germany,China,Belgium,United States,Russia,United Kingdom"
"Saudi Arabia","https://en.wikipedia.org/wiki/Economy_of_Saudi_Arabia","China,India,Japan,South Korea,United States,Singapore,France,United Arab Emirates,Egypt","China,United Arab Emirates,United States,Germany,Japan,India,United Kingdom,South Korea,Netherlands,Italy"
"Turkey","https://en.wikipedia.org/wiki/Economy_of_Turkey","Germany,United States,United Kingdom,Italy,Iraq,Spain,France,Netherlands,Israel,Russia","China,Germany,Russia,United States,Italy,France,India,South Korea,Spain,Netherlands"
"Switzerland","https://en.wikipedia.org/wiki/Economy_of_Switzerland","Germany,United States,China,India,France,United Kingdom","Germany,United States,Italy,United Kingdom,France,China,Belgium"
"Taiwan","https://en.wikipedia.org/wiki/Economy_of_Taiwan","China,ASEAN,United States,Hong Kong,Japan,European Union","China,Japan,ASEAN,United States,European Union,South Korea"
"Poland","https://en.wikipedia.org/wiki/Economy_of_Poland","Germany,Czech Republic,France,United Kingdom,Italy,Netherlands","Germany,China,Russia,Italy,Netherlands"
"Argentina","https://en.wikipedia.org/wiki/GDP_of_Argentina","Brazil,China,United States,Chile","Brazil,China,United States,Germany"
"Belgium","https://en.wikipedia.org/wiki/Economy_of_Belgium","Germany,France,Netherlands,United Kingdom,Italy,United States","Netherlands,Germany,France,United States,United Kingdom,Ireland,China"
"Sweden","https://en.wikipedia.org/wiki/Economy_of_Sweden","Germany,Norway,Finland,United States,Denmark,United Kingdom,Netherlands,China","Germany,Netherlands,Norway,Denmark,United Kingdom,Belgium,Finland,China,France"
"Ireland","https://en.wikipedia.org/wiki/Economy_of_the_Republic_of_Ireland","United States,Great Britain,Belgium,Germany,Switzerland,Netherlands,France,China","Great Britain,United States,France,Germany,China,Netherlands,Italy,Belgium"
"Thailand","https://en.wikipedia.org/wiki/Economy_of_Thailand",",,,,",",,,,"
"Norway","https://en.wikipedia.org/wiki/Economy_of_Norway","United Kingdom,Germany,Netherlands,Sweden,France,Belgium,Denmark,United States","Sweden,Germany,China,United States,South Korea,Denmark,United Kingdom"
"Israel","https://en.wikipedia.org/wiki/Economy_of_Israel","United States,China,Palestine,India,Germany,Ireland,United Kingdom,Netherlands,Turkey,Taiwan","China,United States,Turkey,Germany,Switzerland,Italy,India,Belgium,Netherlands,Hong Kong"
"Singapore","https://en.wikipedia.org/wiki/Economy_of_Singapore","China,Hong Kong,Malaysia,United States,Indonesia","China,Malaysia,United States,Japan,Taiwan"
"Austria","https://en.wikipedia.org/wiki/Economy_of_Austria","Germany,United States,Italy,Switzerland,France,Slovakia","Germany,Italy,Switzerland,Czech Republic,Netherlands"
"Nigeria","https://en.wikipedia.org/wiki/Economy_of_Nigeria","India,Spain,China,Netherlands,South Africa,France","China,Netherlands,United States,India,Belgium"
"United Arab Emirates","https://en.wikipedia.org/wiki/Economy_of_the_United_Arab_Emirates","India,Japan,China,Saudi Arabia,Iraq,Singapore,Oman,Hong Kong,Thailand,Switzerland","China,India,United States,Saudi Arabia,Germany,United Kingdom,Mali,Japan,Italy,Turkey"
"Vietnam","https://en.wikipedia.org/wiki/Economy_of_Vietnam","United States,China,European Union,ASEAN,South Korea,Japan","China,South Korea,ASEAN,Japan,European Union,United States"
"Malaysia","https://en.wikipedia.org/wiki/Economy_of_Malaysia","China,Singapore,United States,Japan","China,Singapore,United States,Japan,Hong Kong"
"Philippines","https://en.wikipedia.org/wiki/Economy_of_the_Philippines","ASEAN,United States,China,Japan,Hong Kong,European Union","ASEAN,China,Japan,South Korea,European Union,United States"
"Bangladesh","https://en.wikipedia.org/wiki/Economy_of_Bangladesh","Germany,United States,United Kingdom,Spain,Poland,France,Netherlands,Italy","China,India,Singapore,European Union,Hong Kong"
"Denmark","https://en.wikipedia.org/wiki/Economy_of_Denmark","Germany,Sweden,United Kingdom,United States,Norway,China","Germany,Sweden,Netherlands,China,Norway,Poland"
"South Africa","https://en.wikipedia.org/wiki/Economy_of_South_Africa","China,United States,Germany,Japan,United Kingdom,Botswana","China,Germany,United States,India,Saudi Arabia,Japan"
"Hong Kong","https://en.wikipedia.org/wiki/Economy_of_Hong_Kong","Mainland China,United States,Taiwan","Mainland China,Taiwan,Singapore"
"Egypt","https://en.wikipedia.org/wiki/Economy_of_Egypt","United States,Turkey,Greece,India,Italy,Saudi Arabia,Spain,United Kingdom,United Arab Emirates,Germany","China,Saudi Arabia,United States,Russia,Turkey,United Arab Emirates,Germany,Italy,India,Netherlands"
"Pakistan","https://en.wikipedia.org/wiki/GDP_of_Pakistan","United States,China,United Kingdom,United Arab Emirates,Germany,Netherlands,Spain,Italy","China,United Arab Emirates,Saudi Arabia,Singapore,United States,Indonesia,Kuwait,Japan"
"Iran","https://en.wikipedia.org/wiki/Economy_of_Iran","China,Turkey,Pakistan,Armenia,India,Azerbaijan,Kuwait,Germany,United Arab Emirates,Oman","China,United Arab Emirates,Turkey,Brazil,Germany,India,Ukraine,Malaysia,Italy,Netherlands"
"Chile","https://en.wikipedia.org/wiki/Economy_of_Chile","China,United States,Japan,South Korea,Brazil","China,United States,Brazil,Argentina,Germany"
"Romania","https://en.wikipedia.org/wiki/GDP_of_Romania","Germany,Italy,France,Hungary,Poland,Bulgaria,Turkey,Netherlands,Czech Republic,United Kingdom","Germany,Italy,Hungary,Poland,China,Turkey,France,Bulgaria,Netherlands,Austria"
"Colombia","https://en.wikipedia.org/wiki/Economy_of_Colombia","United States,Panama,China","United States,China,Mexico,Brazil,Germany"
"Czech Republic","https://en.wikipedia.org/wiki/Economy_of_the_Czech_Republic","EU,Germany,Slovakia,Poland,France,United Kingdom,Italy,Austria","EU,Germany,Poland,China,Slovakia,Netherlands,Italy"
"Finland","https://en.wikipedia.org/wiki/Economy_of_Finland","Germany,Sweden,Netherlands,United States,China,Russia,United Kingdom","Germany,Russia,Sweden,China,Netherlands,France"
"Iraq","https://en.wikipedia.org/wiki/Economy_of_Iraq","India,China,Greece,South Korea,Italy,United States,United Arab Emirates,Turkey,Spain","United Arab Emirates,Turkey,China,India,Germany,Saudi Arabia,South Korea,Italy,United States,Ukraine"
"Peru","https://en.wikipedia.org/wiki/Economy_of_Peru","China,United States,India,South Korea,Japan","China,United States,Brazil,Mexico,Ecuador"
"Portugal","https://en.wikipedia.org/wiki/Economy_of_Portugal","Spain,France,Germany,US,UK,Italy,Netherlands,Angola","Spain,Germany,France,China,Netherlands,Italy,Brazil,US"
"New Zealand","https://en.wikipedia.org/wiki/Economy_of_New_Zealand","China,Australia,United States,European Union,Japan","European Union,Australia,China,United States,Japan"
"Kazakhstan","https://en.wikipedia.org/wiki/Economy_of_Kazakhstan","China,Russia,Greece,United Kingdom,Germany,Uzbekistan,South Korea,France,Spain,United States","Russia,China,Germany,Turkey,Uzbekistan,Poland,South Korea,Belarus,United States,United Arab Emirates"
"Greece","https://en.wikipedia.org/wiki/Economy_of_Greece","Italy,Germany,France,Cyprus,Bulgaria,Turkey,United States,United Kingdom,Romania,Spain","Germany,China,Italy,Netherlands,France,Russia,Ireland,Spain,Iraq,Bulgaria"
"Qatar","https://en.wikipedia.org/wiki/Economy_of_Qatar","Japan,South Korea,India,China,European Union,Singapore,Thailand,Taiwan,Pakistan,United Kingdom,United States","European Union,United States,United Kingdom,China,India,Turkey,Japan,Oman"
"Algeria","https://en.wikipedia.org/wiki/Economy_of_Algeria","Italy,Spain,France,United States,South Korea,Netherlands,United Kingdom,Greece,Turkey,Brazil","China,France,Spain,Germany,Italy,Turkey,Brazil,Russia,Argentina,Canada"
"Hungary","https://en.wikipedia.org/wiki/Economy_of_Hungary","Germany,Romania,Italy,Austria,Slovakia,France,Czech Republic,Poland","Germany,Austria,China,Poland,Slovakia,Netherlands,Czech Republic,Italy,France"
"Kuwait","https://en.wikipedia.org/wiki/Economy_of_Kuwait","India,China,UAE,Iraq,Saudi Arabia","China,United States,UAE,Japan"
"Ethiopia","https://en.wikipedia.org/wiki/Economy_of_Ethiopia","",""
"Ukraine","https://en.wikipedia.org/wiki/Economy_of_Ukraine","China,Poland,Turkey,Russia,Italy,Germany,India,Netherlands,Egypt,Spain","China,Russia,Poland,Germany,Belarus,Turkey,Hungary,United States,Italy,Czech Republic"
"Morocco","https://en.wikipedia.org/wiki/Economy_of_Morocco","Spain,France,India,Brazil,Italy,Germany,United Kingdom,United States,Turkey,Netherlands","Spain,China,France,Turkey,United States,Italy,Germany,Saudi Arabia,Russia,Netherlands"
"Slovakia","https://en.wikipedia.org/wiki/Economy_of_Slovakia","Germany,Czech Republic,Poland,France,Italy,United Kingdom,Hungary,Austria","Germany,Czech Republic,Austria,Poland,Hungary,South Korea,Russia,France,China"
"Ecuador","https://en.wikipedia.org/wiki/Economy_of_Ecuador","United States,Vietnam,Chile,Panama,Russia","United States,China,Colombia,Brazil,Panama"
"Puerto Rico","https://en.wikipedia.org/wiki/Economy_of_Puerto_Rico","United States,Belgium,Netherlands,Italy,Spain","United States,Ireland,Singapore,Switzerland,South Korea"
"Kenya","https://en.wikipedia.org/wiki/Economy_of_Kenya","Uganda,Pakistan,United States,United Kingdom,Netherlands,Tanzania,Ethiopia","China,India,United Arab Emirates,Saudi Arabia,South Africa,Egypt"
"Dominican Republic","https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic","United States,Haiti,Switzerland,India,Canada","United States,China,Mexico,Brazil,Chile"
"Angola","https://en.wikipedia.org/wiki/Economy_of_Angola","China,India,United States","Portugal,China,United States,South Africa,Brazil,United Kingdom"
"Oman","https://en.wikipedia.org/wiki/Economy_of_Oman","China,Japan,United Arab Emirates,South Korea,Thailand,Singapore","United Arab Emirates,Japan,India,China,United States,United Kingdom,Italy"
"Cuba","https://en.wikipedia.org/wiki/Economy_of_Cuba","Venezuela,Spain,Russia,Lebanon,Indonesia,Germany","China,Spain,Russia,Brazil,Mexico,Italy,United States"
"Guatemala","https://en.wikipedia.org/wiki/Economy_of_Guatemala","United States,El Salvador,Honduras,Nicaragua,Mexico","United States,China,Mexico,El Salvador"
"Bulgaria","https://en.wikipedia.org/wiki/Economy_of_Bulgaria","Germany,Romania,Greece,Italy,Turkey,France,China,Belgium,Spain,United States","Germany,Turkey,Greece,Romania,Italy,Russia,China,Netherlands,Poland,Hungary"
"Venezuela","https://en.wikipedia.org/wiki/Economy_of_Venezuela","United States,China,India,Singapore,Spain","United States,China,Mexico,Brazil,Colombia"
"Uzbekistan","https://en.wikipedia.org/wiki/Economy_of_Uzbekistan","Switzerland,China,United Kingdom,Russia,Turkey,Kazakhstan,Kyrgyzstan,Afghanistan,Tajikistan,Singapore","China,Russia,Kazakhstan,South Korea,Turkey,Germany,Turkmenistan,Italy,India,Ukraine"
"Luxembourg","https://en.wikipedia.org/wiki/Economy_of_Luxembourg","Germany,Belgium,France,Netherlands,Italy,United Kingdom","Belgium,Germany,France,United States,Netherlands,China"
"Tanzania","https://en.wikipedia.org/wiki/Economy_of_Tanzania","India,United Arab Emirates,China,Switzerland,Rwanda,Kenya,Vietnam","China,India,United Arab Emirates"
"Turkmenistan","https://en.wikipedia.org/wiki/Economy_of_Turkmenistan","China,Turkey,Uzbekistan,Georgia,Russia,Brazil,Cyprus,Greece,Ukraine,Italy","Turkey,China,Russia,United Arab Emirates,Germany,Italy,India,Uzbekistan,USA,Brazil"
"Croatia","https://en.wikipedia.org/wiki/Economy_of_Croatia","Slovenia,Italy,Germany,Hungary,Bosnia and Herzegovina","Germany,Italy,Slovenia,Hungary,Austria"
"Lithuania","https://en.wikipedia.org/wiki/Economy_of_Lithuania","Russia,Latvia,Poland,Germany,United States,Estonia,Sweden","Russia,Germany,Poland,Latvia,Italy,Netherlands,Sweden"
"Costa Rica","https://en.wikipedia.org/wiki/GDP_of_Costa_Rica","United States,Belgium,Panama,Netherlands,Nicaragua,Guatemala","United States,China,Mexico"
"Uruguay","https://en.wikipedia.org/wiki/Economy_of_Uruguay","China,Brazil,United States,Argentina","China,Brazil,Argentina,United States"
"Panama","https://en.wikipedia.org/wiki/Economy_of_Panama","United States,Netherlands,China,Costa Rica,India,Vietnam","United States,China,Mexico"
"Ivory Coast","https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast","Netherlands,United States,France,Malaysia,Vietnam,Mali,Spain,Switzerland,Germany,Burkina Faso","China,Nigeria,France,USA,India"
"Sri Lanka","https://en.wikipedia.org/wiki/Economy_of_Sri_Lanka","USA,UK,India,Germany,Italy","China,India,UAE,Malaysia,Singapore"
"Serbia","https://en.wikipedia.org/wiki/Economy_of_Serbia","EU,Bosnia and Herzegovina,Russia,China,Montenegro","EU,China,Russia,Turkey,Bosnia and Herzegovina"
"Belarus","https://en.wikipedia.org/wiki/Economy_of_Belarus","Russia,Ukraine,Poland,Lithuania,Germany,United Kingdom,China,Kazakhstan,Netherlands","Russia,China,Poland,Germany,Ukraine,Lithuania,Turkey,Italy,Netherlands,United States"
"Azerbaijan","https://en.wikipedia.org/wiki/Economy_of_Azerbaijan","Italy,Turkey,Israel,India,Greece,Spain,Russia,Croatia,Czechia,United Kingdom","Russia,Turkey,China,Germany,Turkmenistan,United States of America,Iran,Italy,Japan,South Korea"
"Ghana","https://en.wikipedia.org/wiki/Economy_of_Ghana","India,United Arab Emirates,China,Switzerland,Vietnam,Burkina Faso","China,United States,United Kingdom,Belgium,India"
"DR Congo","https://en.wikipedia.org/wiki/Economy_of_the_Democratic_Republic_of_the_Congo","China,Zambia,Belgium,United Kingdom","South Africa,China,Belgium,Zambia,Zimbabwe,Kenya,France,Turkey"
"Slovenia","https://en.wikipedia.org/wiki/Economy_of_Slovenia","Switzerland,Germany,Italy,Croatia,Austria,France","Switzerland,Germany,Italy,China,Austria,Croatia"
"Myanmar","https://en.wikipedia.org/wiki/Economy_of_Myanmar","",""
"Jordan","https://en.wikipedia.org/wiki/Economy_of_Jordan","United States,India,Saudi Arabia,Iraq,China,United Arab Emirates,Indonesia,Israel,Egypt,Palestine","China,Saudi Arabia,United Arab Emirates,United States,Turkey,India,Germany,Switzerland,Egypt,South Korea"
"Tunisia","https://en.wikipedia.org/wiki/Economy_of_Tunisia","France,Italy,Germany,Spain,Libya,United States,Netherlands,Switzerland,Turkey,United Kingdom","France,Italy,China,Germany,Turkey,Greece,Spain,Algeria,Azerbaijan,United States"
"Uganda","https://en.wikipedia.org/wiki/Economy_of_Uganda","Kenya,UAE,DR Congo,Rwanda,Tanzania","China,India,UAE,Kenya,Japan,Saudi Arabia,Indonesia,South Africa"
"Cameroon","https://en.wikipedia.org/wiki/Economy_of_Cameroon","Netherlands,France,China,Belgium,Italy,Algeria,Malaysia","China,France,Thailand,Nigeria"
"Latvia","https://en.wikipedia.org/wiki/GDP_of_Latvia","Lithuania,Russia,Estonia,Germany,Sweden,United Kingdom,Poland,Denmark","Lithuania,Germany,Poland,Estonia,Russia,Netherlands,Finland,Italy"
"Sudan","https://en.wikipedia.org/wiki/Economy_of_Sudan","UAE,Egypt,Oman,Germany,Indonesia,Turkey,South Korea,France","UAE,Egypt,Germany,Pakistan,Russia,Turkey,Japan,South Korea"
"Libya","https://en.wikipedia.org/wiki/Economy_of_Libya","Italy,Germany,Spain,China,France,United States,Greece,Netherlands,United Kingdom,Thailand","Turkey,Greece,China,United Arab Emirates,Italy,Egypt,Germany,Tunisia,Netherlands,South Korea"
